Store,Total_Revenue,Total_Cost,Units_Sold,Transaction_Count,Total_Profit,Gross_Margin_Pct
STR-1006,485561.44,259786.2999,5619,6165,225775.1401,46.497749100505175
STR-1229,399696.48,222383.61,3817,4228,177312.87,44.3618792940083
STR-1080,371277.03,199581.94,3461,3935,171695.09000000003,46.24446871922026
STR-1194,346391.52999999997,192287.66,4056,4512,154103.86999999997,44.488348199507065
STR-1010,343436.84,192328.17,4554,5039,151108.67,43.998969359256854
STR-1235,335338.71,186237.11,3082,3445,149101.60000000003,44.4629849026377
STR-1148,332396.05,185162.07,4392,4895,147233.97999999998,44.29474417641244
STR-1094,332104.96,191799.85,4024,4522,140305.11000000002,42.24721907194641
STR-1222,329188.1,178765.33,3200,3590,150422.77,45.69508132280602
STR-1044,328466.36,179081.09,3945,4353,149385.27,45.4796253716819
STR-1075,327931.8,180209.41,3695,4101,147722.38999999998,45.04668043782274
STR-1198,324919.24,189332.68,4805,5234,135586.56,41.729310951238226
STR-1253,303166.58,171944.99,3422,3773,131221.59000000003,43.28365943238203
STR-1109,297203.61,168893.37,3684,4093,128310.23999999999,43.17250386023238
STR-1203,284126.86,157597.98,2679,3060,126528.87999999998,44.5325302929825
STR-1114,280115.59,162098.42,3544,3970,118017.17000000001,42.13159645987572
STR-1107,274414.33,155102.66999999998,3411,3825,119311.66000000003,43.47865506877867
STR-1163,272628.13,149635.51,2608,2923,122992.62,45.11369388037838
STR-1157,270730.42,148804.49,3384,3863,121925.93,45.0359180176354
STR-1145,267684.43,151648.68,3602,4019,116035.75,43.34796386924709
STR-1038,258637.2,144831.3,2656,3096,113805.90000000002,44.00213890345241
STR-1305,253501.09,143088.51,2594,2914,110412.57999999999,43.55507110442799
STR-1350,253081.81,137767.81,2493,2870,115314.0,45.56392259088079
STR-1026,243589.79,134102.8,2516,2857,109486.99000000002,44.9472820679389
STR-1074,241739.21,133658.6,2340,2657,108080.60999999999,44.70959014054856
STR-1085,234013.73,127866.9,2269,2548,106146.83000000002,45.35923169978104
STR-1338,223052.64,123234.22,2222,2493,99818.42000000001,44.75105966017708
STR-1219,222037.94,126055.4,2200,2470,95982.54000000001,43.22799067582775
STR-1082,217612.17,121326.36,2176,2392,96285.81000000001,44.24651893320121
STR-1348,199373.49,111191.67,2415,2817,88181.81999999999,44.22946099804943
STR-1255,193644.65,107798.62,2444,2662,85846.03,44.33173340962428
STR-1149,191937.3,107723.35,1945,2235,84213.94999999998,43.875760469695045
STR-1237,191890.4,110830.86,2543,2753,81059.54,42.24262391448452
STR-1335,172005.49,95446.45999999999,1720,1963,76559.03,44.50964326778175
STR-1353,157293.04,87965.8,1550,1730,69327.24,44.07521146517354
STR-1369,150556.35,83917.81,1488,1748,66638.54000000001,44.261527328472035
STR-1234,150442.21,84397.33,1481,1680,66044.87999999999,43.90049840400509
STR-1308,142256.04,87464.95,2137,2394,54791.09000000001,38.5158268148052
STR-1105,139447.11,78669.83,1417,1630,60777.279999999984,43.58446725787289
STR-1344,139220.1,77731.19,1405,1666,61488.91,44.16669001099698
